pH,turbidity,TDS,temperature,conductivity,label
9.04,3.25,534.5,18.1,850.9,0
8.96,7.81,667.5,32.6,217.4,0
8.45,2.66,751.6,31.0,804.8,0
8.74,2.13,651.2,17.2,810.5,0
8.93,1.78,671.6,24.2,413.6,0
8.68,1.82,116.6,18.9,429.8,0
8.96,7.74,295.4,27.8,479.8,0
9.42,4.29,757.5,17.3,879.3,0
6.21,7.7,285.8,17.2,504.2,0
8.41,2.51,524.3,25.2,469.6,0
7.81,2.04,596.1,15.0,847.9,0
7.65,5.76,619.4,28.4,455.0,0
5.78,5.31,331.1,21.3,793.6,0
8.38,2.4,316.5,23.2,481.7,1
6.68,1.02,394.3,33.8,674.1,1
9.11,4.92,310.7,26.0,200.3,0
6.65,3.44,506.0,28.1,525.5,0
7.27,1.71,431.2,33.0,757.2,1
6.18,0.68,460.8,27.7,434.6,0
8.77,6.01,571.0,19.5,339.4,0
5.6,1.96,432.6,32.0,251.0,0
7.16,5.04,236.1,28.9,546.1,0
6.48,5.25,103.9,30.0,739.0,0
5.93,3.4,223.1,34.2,562.6,0
5.7,1.99,693.8,24.1,761.0,0
8.17,7.9,516.8,34.0,824.0,0
7.95,5.75,453.3,31.6,583.5,0
9.09,5.95,432.3,20.2,373.1,0
8.05,6.13,464.9,27.5,392.2,0
5.81,2.29,290.2,21.4,578.1,0
6.05,1.85,585.8,29.1,245.0,0
7.13,4.34,391.0,19.1,494.1,0
9.12,4.67,586.9,32.1,735.9,0
7.02,0.05,346.2,30.1,797.4,1
9.31,3.35,623.3,25.9,622.3,0
6.38,1.76,405.1,15.6,435.3,0
8.22,3.23,215.5,24.3,289.3,1
7.99,0.22,375.8,26.3,219.0,1
8.07,1.09,423.2,16.0,465.4,1
6.35,2.61,632.9,22.6,726.4,0
8.83,2.02,157.3,15.4,577.6,0
9.5,2.8,555.1,30.6,656.2,0
8.52,7.6,239.6,15.4,306.7,0
6.0,5.36,494.8,19.4,689.6,0
8.57,1.34,525.1,30.0,280.2,0
8.78,7.72,175.7,15.5,418.4,0
8.21,7.67,377.7,29.3,253.2,0
8.26,5.02,171.3,30.4,795.2,0
7.9,0.97,788.7,30.7,443.0,0
7.21,2.96,454.2,21.8,794.7,1
8.79,0.84,772.6,27.7,780.1,0
8.33,3.48,613.7,34.3,389.1,0
8.73,4.31,438.4,23.7,711.7,0
6.57,6.81,681.5,16.7,817.1,0
6.48,3.72,527.2,22.6,220.1,0
8.9,1.45,248.5,31.0,438.2,0
9.02,5.61,293.4,15.2,863.6,0
5.84,5.76,442.0,30.2,683.4,0
8.08,3.93,655.1,16.9,355.1,0
8.27,2.45,507.1,24.5,571.6,0
7.2,5.97,331.6,29.1,389.6,0
6.51,0.97,234.8,17.4,575.1,1
8.55,1.48,251.5,24.7,707.2,0
9.41,4.2,298.1,17.0,335.9,0
6.41,1.44,109.9,25.7,392.0,0
9.4,4.43,588.2,17.5,807.9,0
7.46,6.98,501.8,24.4,508.3,0
6.24,0.41,758.7,24.6,775.5,0
7.1,0.59,540.6,16.1,304.4,0
7.75,2.43,795.7,17.4,735.1,0
7.93,6.33,258.0,25.5,515.4,0
7.27,6.88,793.0,21.1,634.7,0
7.94,5.92,763.3,19.2,347.7,0
8.14,1.26,221.7,16.5,201.9,1
7.3,4.75,303.9,19.6,694.9,0
8.31,3.63,581.2,33.5,751.5,0
8.0,5.29,753.6,23.5,581.2,0
8.09,7.27,678.6,16.4,316.1,0
6.73,5.99,498.4,20.8,287.0,0
8.25,5.6,759.9,25.0,545.7,0
5.82,0.32,402.4,21.4,375.3,0
5.87,7.7,685.2,26.5,865.6,0
9.5,5.38,288.7,15.8,729.4,0
7.38,5.21,741.3,18.6,609.7,0
8.04,3.93,163.9,22.0,433.3,1
8.18,6.86,330.9,28.9,401.8,0
9.28,6.51,485.1,24.1,420.2,0
6.79,7.76,382.9,25.3,891.7,0
8.13,4.34,389.3,18.8,453.2,0
8.53,5.0,632.0,19.1,584.5,0
9.21,3.5,588.8,17.4,881.2,0
7.94,1.91,210.9,26.0,586.6,1
5.87,7.94,739.1,24.2,282.2,0
8.83,3.99,601.6,25.2,391.4,0
8.84,7.84,270.6,26.0,468.5,0
9.19,4.07,715.5,32.3,393.4,0
8.66,3.32,754.0,25.2,774.4,0
6.63,2.39,510.9,35.0,542.7,0
6.09,4.31,341.6,26.0,580.4,0
7.32,2.57,232.1,28.9,600.3,1
6.43,6.2,130.6,29.9,693.7,0
8.75,3.09,564.6,31.4,886.6,0
7.48,0.3,451.6,26.8,808.8,1
9.0,3.52,468.2,24.1,705.7,0
7.14,5.24,208.1,24.4,878.4,0
6.85,5.54,554.9,32.0,796.6,0
8.94,3.04,321.7,29.4,731.6,0
8.99,0.29,147.9,27.6,844.7,0
9.49,5.97,403.8,17.0,643.6,0
8.99,3.55,585.8,33.1,232.2,0
8.68,2.35,362.4,17.9,571.8,0
7.76,6.34,219.0,16.6,809.6,0
7.98,1.93,739.0,17.9,522.8,0
6.52,2.04,106.6,31.1,830.8,1
8.21,1.26,409.2,21.9,611.3,1
8.06,3.39,275.1,31.9,339.5,1
7.04,3.87,266.0,26.4,602.4,1
9.47,2.36,784.6,28.2,392.1,0
7.76,5.49,621.3,16.0,624.5,0
7.49,7.23,300.3,31.0,624.9,0
6.91,5.09,534.6,28.6,704.6,0
8.14,6.71,539.8,33.1,652.4,0
6.74,3.53,505.7,29.6,263.1,0
6.68,5.98,222.9,17.6,577.6,0
9.39,4.25,739.4,31.6,379.9,0
8.8,3.85,664.5,29.9,437.1,0
5.96,7.7,198.5,34.3,802.1,0
8.4,7.84,777.1,31.1,456.0,0
8.66,0.11,475.6,24.1,671.0,0
8.19,4.68,675.7,33.8,275.8,0
6.44,0.2,719.0,26.2,840.7,0
6.39,0.51,676.7,33.2,411.5,0
7.13,1.12,762.4,21.1,544.8,0
5.89,7.1,195.0,24.1,669.3,0
8.47,7.57,393.4,29.8,308.2,0
7.16,0.79,442.5,23.2,866.1,1
5.63,2.96,410.4,34.0,798.8,0
